id,crop,Gross_Production_Value_constant_2004_2006_1000_dollar,Net_Production_Value_constant_2004_2006_1000_dollar,Gross_Production_Value_current_million_SLC,Gross_Production_Value_constant_2004_2006_million_SLC,Gross_Production_Value_current_million_US_dollar,Gross_Production_Value_constant_2004_2006_million_US_dollar
0,Barley,158246.06,135396.918536,12002.6515,9966.399333,290.279982,222.01924
1,Barley,142778.4,119826.579449,11826.96,8992.24,271.851745,200.318111
2,Barley,200972.4962,173974.332224,18390.768781,12657.327153,379.933219,281.964435
3,Barley,161184.9154,136584.732499,17365.018745,10151.489607,379.764031,226.142454
4,Barley,197855.1678,169046.598698,23244.697989,12460.99658,498.060115,277.590822
5,Barley,192750.84,163889.817683,24572.079,12139.524,459.830674,270.42945
6,Barley,208218.5,179878.77233,25393.1475,13113.683333,433.346095,292.130579
7,Barley,217737.06,188534.364546,28782.4413,13713.166,471.615112,305.485119
8,Barley,191917.966,162715.270546,26899.46871,12087.069267,419.308704,269.260928
9,Barley,179067.91,149865.214546,26255.88385,11277.767667,390.739811,251.232298
10,Groundnuts,4142620.5975,3947932.993851,142328.75,138961.833333,3442.171669,3095.010106
11,Groundnuts,3233838.1383,3060858.633525,150530.1,108477.246667,3460.04978,2416.045951
12,Groundnuts,2449029.7755,2263970.9169,125936.585775,82151.3,2601.712467,1829.704586
13,Groundnuts,3728696.895,3561007.0419,225736.986,125077,4936.751815,2785.761887
14,Groundnuts,3141759.852,2991123.2043,207416.95988,105388.533333,4444.287248,2347.252968
15,Groundnuts,2118116.385,1952321.3325,151736.5782,71051,2839.529084,1582.474538
16,Groundnuts,4273226.496,4125274.14915,292851.79136,143342.933333,4997.654594,3192.58761
17,Groundnuts,3339360.486,3191408.13915,248058.11862,112016.933333,4064.559923,2494.883181
18,Groundnuts,3054689.253,2906736.90615,240596.85453,102467.8,3750.421855,2282.201299
19,Groundnuts,3093487.551,2945535.20415,254889.56969,103769.266667,3793.264129,2311.188053
20,Maize,2685316.741,1832744.229133,152279.15367,121759.380053,3682.818746,2708.77228
21,Maize,2795248.781,1911511.401366,165743.76,126743.990187,3809.747421,2819.664548
22,Maize,2368567.9675,1575912.061057,155151.27537,107397.150933,3205.256082,2389.256789
23,Maize,3077785.457,2017330.141425,237353.495968,139554.952107,5190.798915,3104.669108
24,Maize,3082630.4,2021590.95713,259241.4592,139774.634667,5554.721813,3109.55637
