id,crop,Production,Imports,Stock,Export,Domestic,Seed,Food,Food supply quantity (kg/capita/yr),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
0,Wheat and products,75807,2690,-996,128,77373,2804,69311,59.8,510,14.9,2.36
1,Wheat and products,78570,14,2000,163,80421,2775,71361,60.75,518,15.14,2.41
2,Wheat and products,80679,180,-1500,146,79214,2846,69900,58.73,501,14.63,2.33
3,Wheat and products,80804,199,1550,158,82394,2907,72719,60.32,515,15.03,2.39
4,Wheat and products,86874,17,-4130,784,81976,2986,71867,58.85,502,14.66,2.33
5,Wheat and products,94880,15,-8713,5040,81141,2965,70589,57.08,487,14.23,2.26
6,Wheat and products,93510,27,3,7168,86372,3060,75833,60.56,517,15.09,2.39
7,Rice (Milled Equivalent),96428,22,0,6490,89960,2278,82527,71.2,706,13.27,1.57
8,Rice (Milled Equivalent),98740,12,-4000,2514,92237,2097,84858,72.24,717,13.47,1.59
9,Rice (Milled Equivalent),90494,41,4000,2181,92354,2144,85325,71.69,711,13.36,1.58
10,Rice (Milled Equivalent),96023,11,500,2264,94270,2200,86928,72.1,715,13.44,1.58
11,Rice (Milled Equivalent),105319,12,-5000,5045,95287,2122,86478,70.82,703,13.2,1.56
12,Rice (Milled Equivalent),105253,4,0,10501,94756,2198,86933,70.3,697,13.1,1.54
13,Rice (Milled Equivalent),106186,5,0,11337,94854,2171,87006,69.49,689,12.96,1.53
14,Barley and products,1330,9,0,350,989,72,691,0.6,4,0.1,0.02
15,Barley and products,1200,6,0,169,1037,85,740,0.63,4,0.11,0.02
16,Barley and products,1689,4,0,57,1636,75,1276,1.07,7,0.18,0.03
17,Barley and products,1355,5,0,39,1321,85,984,0.82,5,0.14,0.02
18,Barley and products,1663,6,-13,48,1608,92,1217,1,7,0.17,0.03
19,Barley and products,1620,41,-8,120,1533,94,1152,0.93,6,0.16,0.02
20,Barley and products,1750,12,20,557,1226,97,835,0.67,4,0.11,0.02
21,Maize and products,18955,7,0,2799,16163,899,8200,7.07,58,1.45,0.72
22,Maize and products,19731,10,0,3624,16118,909,7845,6.68,55,1.37,0.68
23,Maize and products,16720,24,500,2673,14571,941,7194,6.04,50,1.24,0.61
24,Maize and products,21726,10,-2000,2376,17359,966,7682,6.37,52,1.31,0.64
25,Maize and products,21760,17,0,4129,17648,958,7943,6.5,53,1.33,0.66
26,Maize and products,22260,9,0,4537,17732,1045,7759,6.27,51,1.29,0.64
27,Maize and products,23290,17,0,5119,18188,946,7876,6.29,52,1.29,0.64
28,Millet and products,12673,0,-1200,105,11368,331,8.82,75,2.18,0.85,
29,Millet and products,11372,0,-300,186,10885,330,8.36,71,2.07,0.81,
30,Millet and products,8777,0,1500,137,10139,354,7.66,65,1.89,0.74,
31,Millet and products,13293,1,-1500,157,11637,320,8.64,74,2.13,0.84,
32,Millet and products,12660,0,-500,133,12027,273,8.91,76,2.2,0.86,
33,Millet and products,10750,0,0,109,10641,276,7.78,66,1.92,0.75,
34,Millet and products,10910,0,0,83,10827,264,7.83,67,1.94,0.76,
35,Sorghum and products,7151,0,42,7109,86,493,5.43,48,1.41,0.52,
36,Sorghum and products,7926,0,90,7836,95,546,5.93,53,1.54,0.57,
37,Sorghum and products,7246,0,81,7164,87,499,5.33,47,1.39,0.51,
38,Sorghum and products,6698,0,130,6568,80,461,4.82,43,1.25,0.46,
39,Sorghum and products,7003,0,38,6965,70,483,5.1,45,1.33,0.49,
40,Sorghum and products,5980,0,149,5831,60,411,4.18,37,1.09,0.4,
41,Sorghum and products,5280,0,219,5061,53,362,3.58,32,0.93,0.34,
42,Sugar cane,355520,0,0,355520,5333,5333,12.27,10,0.03,0.07,
43,Sugar cane,348188,0,0,348188,6964,5223,10.37,8,0.03,0.06,
44,Sugar cane,285029,0,0,285029,5701,4275,8.4,7,0.02,0.05,
45,Sugar cane,292302,0,0,292302,5846,4385,8.49,7,0.02,0.05,
