id,crop,area_harvested,yieldd,production
0,Barley,646200,20582,1330000
1,Barley,602600,19914,1200000
2,Barley,705700,23935,1689100
3,Barley,623800,21717,1354700
4,Barley,705400,23574,1662900
5,Barley,643000,25194,1620000
6,Barley,695000,25180,1750000
7,Barley,673500,27171,1830000
8,Barley,707000,22815,1613000
9,Barley,590000,25508,1505000
10,Coconuts,1940000,56155,10894000
11,Coconuts,1903200,53322,10148300
12,Coconuts,1895200,57114,10824300
13,Coconuts,1895900,57176,10840000
14,Coconuts,2070820,49642,10280000
15,Coconuts,2137000,49415,10560000
16,Coconuts,2159000,55257,11930000
17,Coconuts,2140000,51770,11078873
18,Coconuts,2164000,51801,11209641
19,Coconuts,2155749,51620,11127898
20,"Groundnuts, with shell",6292000,14594,9182500
21,"Groundnuts, with shell",6164900,11627,7168100
22,"Groundnuts, with shell",5477500,9911,5428500
23,"Groundnuts, with shell",5860000,14104,8265000
24,"Groundnuts, with shell",5310000,13115,6964000
25,"Groundnuts, with shell",4770000,9843,4695000
26,"Groundnuts, with shell",5505210,17206,9472000
27,"Groundnuts, with shell",4685000,15799,7402000
28,"Groundnuts, with shell",4560000,14849,6771000
29,"Groundnuts, with shell",5800000,11822,6857000
30,Jute,816000,22549,1840000
31,Jute,785600,22072,1734000
32,Jute,811200,24920,2021500
33,Jute,767630,23437,1799100
34,Jute,800000,24505,1960380
35,Jute,800000,23900,1912000
36,Jute,800000,24300,1944000
37,Jute,741000,26559,1968000
38,Jute,773000,23146,1789200
39,Jute,765105,24839,1900433
40,Millet,11695500,10836,12673000
41,Millet,11039100,10301,11371800
42,Millet,11002700,7977,8776800
43,Millet,11791800,11273,13293000
44,Millet,10680000,11854,12660000
45,Millet,10752000,9998,10750000
46,Millet,9179000,11886,10910000
47,Millet,9686740,11789,11420000
48,Millet,9116000,12758,11630000
49,Millet,8840000,11629,10280000
50,Oilseeds nes,360000,3056,110000
51,Oilseeds nes,339400,3447,117000
52,Oilseeds nes,375500,2663,100000
53,Oilseeds nes,388730,2778,108000
54,Oilseeds nes,310000,3161,98000
55,Oilseeds nes,315000,3238,102000
56,Oilseeds nes,298740,3280,98000
57,Oilseeds nes,234000,3248,76000
58,Oilseeds nes,252000,2937,74000
59,Oilseeds nes,281396,3021,85000
60,"Rice, paddy",43910000,32924,144570000
61,"Rice, paddy",45537400,32509,148036000
62,"Rice, paddy",41918300,32366,135672992
63,"Rice, paddy",42862400,33587,143963008
64,"Rice, paddy",44010000,35878,157900000
65,"Rice, paddy",42754000,36909,157800000
66,"Rice, paddy",44135950,36070,159200000
67,"Rice, paddy",44110000,35638,157200000
68,"Rice, paddy",43390000,36077,156540000
69,"Rice, paddy",42964980,36950,158756871
70,Sorghum,8470000,8443,7150800
71,Sorghum,7764000,10209,7925900
72,Sorghum,7530900,9621,7245600
73,Sorghum,7787200,8602,6698200
74,Sorghum,7381700,9487,7003100
75,Sorghum,6250000,9568,5980000
76,Sorghum,6210000,8502,5280000
77,Sorghum,5790000,9568,5540000
78,Sorghum,6160000,8847,5450000
79,Sorghum,5650000,7805,4410000
80,Soybeans,8880000,12351,10968000
81,Soybeans,9510800,10415,9905400
82,Soybeans,9734700,10236,9964500
83,Soybeans,9554190,13330,12736000
84,Soybeans,10180000,11998,12214000
85,Soybeans,10840000,13530,14666000
86,Soybeans,11716430,10123,11861000
87,Soybeans,11086000,9358,10374000
88,Soybeans,11670000,7344,8570000
89,Soybeans,11500000,12181,14008000
90,Sugar cane,5150000,690330,355519712
91,Sugar cane,5055200,688772,348187904
92,Sugar cane,4415400,645535,285029312
93,Sugar cane,4174600,700191,292301600
94,Sugar cane,4944390,692466,342382016
95,Sugar cane,5090000,709306,361036992
96,Sugar cane,5060000,674308,341200000
97,Sugar cane,4990000,705695,352142000
98,Sugar cane,5070000,714661,362333000
99,Sugar cane,4950000,703935,348448000
100,Tea,567020,17160,973000
101,Tea,578458,17063,987000
102,Tea,579000,16800,972700
103,Tea,579000,17119,991182
104,Tea,600000,18258,1095460
105,Tea,605000,18761,1135070
106,Tea,563980,21433,1208780
107,Tea,604000,19989,1207310
108,Tea,566660,21762,1233140
109,Tea,585907,21372,1252174
110,Wheat,27994500,27079,75806704
111,Wheat,28038600,28022,78570200
112,Wheat,27752400,29071,80679400
113,Wheat,28457400,28395,80803600
114,Wheat,29068600,29886,86874000
115,Wheat,29860000,31775,94880000
116,Wheat,29650000,31538,93510000
117,Wheat,30470000,31457,95850000
118,Wheat,31470000,27496,86530000
119,Wheat,30230000,30930,93500000
