Element,Item,Year,Unit,Value
Area harvested,Barley,2007,ha,646200
Area harvested,Barley,2008,ha,602600
Area harvested,Barley,2009,ha,705700
Area harvested,Barley,2010,ha,623800
Area harvested,Barley,2011,ha,705400
Area harvested,Barley,2012,ha,643000
Area harvested,Barley,2013,ha,695000
Area harvested,Barley,2014,ha,673500
Area harvested,Barley,2015,ha,707000
Area harvested,Barley,2016,ha,590000
Yield,Barley,2007,hg/ha,20582
Yield,Barley,2008,hg/ha,19914
Yield,Barley,2009,hg/ha,23935
Yield,Barley,2010,hg/ha,21717
Yield,Barley,2011,hg/ha,23574
Yield,Barley,2012,hg/ha,25194
Yield,Barley,2013,hg/ha,25180
Yield,Barley,2014,hg/ha,27171
Yield,Barley,2015,hg/ha,22815
Yield,Barley,2016,hg/ha,25508
Production,Barley,2007,tonnes,1330000
Production,Barley,2008,tonnes,1200000
Production,Barley,2009,tonnes,1689100
Production,Barley,2010,tonnes,1354700
Production,Barley,2011,tonnes,1662900
Production,Barley,2012,tonnes,1620000
Production,Barley,2013,tonnes,1750000
Production,Barley,2014,tonnes,1830000
Production,Barley,2015,tonnes,1613000
Production,Barley,2016,tonnes,1505000
Area harvested,Coconuts,2007,ha,1940000
Area harvested,Coconuts,2008,ha,1903200
Area harvested,Coconuts,2009,ha,1895200
Area harvested,Coconuts,2010,ha,1895900
Area harvested,Coconuts,2011,ha,2070820
Area harvested,Coconuts,2012,ha,2137000
Area harvested,Coconuts,2013,ha,2159000
Area harvested,Coconuts,2014,ha,2140000
Area harvested,Coconuts,2015,ha,2164000
Area harvested,Coconuts,2016,ha,2155749
Yield,Coconuts,2007,hg/ha,56155
Yield,Coconuts,2008,hg/ha,53322
Yield,Coconuts,2009,hg/ha,57114
Yield,Coconuts,2010,hg/ha,57176
Yield,Coconuts,2011,hg/ha,49642
Yield,Coconuts,2012,hg/ha,49415
Yield,Coconuts,2013,hg/ha,55257
Yield,Coconuts,2014,hg/ha,51770
Yield,Coconuts,2015,hg/ha,51801
Yield,Coconuts,2016,hg/ha,51620
Production,Coconuts,2007,tonnes,10894000
Production,Coconuts,2008,tonnes,10148300
Production,Coconuts,2009,tonnes,10824300
Production,Coconuts,2010,tonnes,10840000
Production,Coconuts,2011,tonnes,10280000
Production,Coconuts,2012,tonnes,10560000
Production,Coconuts,2013,tonnes,11930000
Production,Coconuts,2014,tonnes,11078873
Production,Coconuts,2015,tonnes,11209641
Production,Coconuts,2016,tonnes,11127898
Area harvested,"Groundnuts, with shell",2007,ha,6292000
Area harvested,"Groundnuts, with shell",2008,ha,6164900
Area harvested,"Groundnuts, with shell",2009,ha,5477500
Area harvested,"Groundnuts, with shell",2010,ha,5860000
Area harvested,"Groundnuts, with shell",2011,ha,5310000
Area harvested,"Groundnuts, with shell",2012,ha,4770000
Area harvested,"Groundnuts, with shell",2013,ha,5505210
Area harvested,"Groundnuts, with shell",2014,ha,4685000
Area harvested,"Groundnuts, with shell",2015,ha,4560000
Area harvested,"Groundnuts, with shell",2016,ha,5800000
Yield,"Groundnuts, with shell",2007,hg/ha,14594
Yield,"Groundnuts, with shell",2008,hg/ha,11627
Yield,"Groundnuts, with shell",2009,hg/ha,9911
Yield,"Groundnuts, with shell",2010,hg/ha,14104
Yield,"Groundnuts, with shell",2011,hg/ha,13115
Yield,"Groundnuts, with shell",2012,hg/ha,9843
Yield,"Groundnuts, with shell",2013,hg/ha,17206
Yield,"Groundnuts, with shell",2014,hg/ha,15799
Yield,"Groundnuts, with shell",2015,hg/ha,14849
Yield,"Groundnuts, with shell",2016,hg/ha,11822
Production,"Groundnuts, with shell",2007,tonnes,9182500
Production,"Groundnuts, with shell",2008,tonnes,7168100
Production,"Groundnuts, with shell",2009,tonnes,5428500
Production,"Groundnuts, with shell",2010,tonnes,8265000
Production,"Groundnuts, with shell",2011,tonnes,6964000
Production,"Groundnuts, with shell",2012,tonnes,4695000
Production,"Groundnuts, with shell",2013,tonnes,9472000
Production,"Groundnuts, with shell",2014,tonnes,7402000
Production,"Groundnuts, with shell",2015,tonnes,6771000
Production,"Groundnuts, with shell",2016,tonnes,6857000
Area harvested,Jute,2007,ha,816000
Area harvested,Jute,2008,ha,785600
Area harvested,Jute,2009,ha,811200
Area harvested,Jute,2010,ha,767630
Area harvested,Jute,2011,ha,800000
Area harvested,Jute,2012,ha,800000
Area harvested,Jute,2013,ha,800000
Area harvested,Jute,2014,ha,741000
Area harvested,Jute,2015,ha,773000
Area harvested,Jute,2016,ha,765105
Yield,Jute,2007,hg/ha,22549
Yield,Jute,2008,hg/ha,22072
Yield,Jute,2009,hg/ha,24920
Yield,Jute,2010,hg/ha,23437
Yield,Jute,2011,hg/ha,24505
Yield,Jute,2012,hg/ha,23900
Yield,Jute,2013,hg/ha,24300
Yield,Jute,2014,hg/ha,26559
Yield,Jute,2015,hg/ha,23146
Yield,Jute,2016,hg/ha,24839
Production,Jute,2007,tonnes,1840000
Production,Jute,2008,tonnes,1734000
Production,Jute,2009,tonnes,2021500
Production,Jute,2010,tonnes,1799100
Production,Jute,2011,tonnes,1960380
Production,Jute,2012,tonnes,1912000
Production,Jute,2013,tonnes,1944000
Production,Jute,2014,tonnes,1968000
Production,Jute,2015,tonnes,1789200
Production,Jute,2016,tonnes,1900433
Area harvested,Millet,2007,ha,11695500
Area harvested,Millet,2008,ha,11039100
Area harvested,Millet,2009,ha,11002700
Area harvested,Millet,2010,ha,11791800
Area harvested,Millet,2011,ha,10680000
Area harvested,Millet,2012,ha,10752000
Area harvested,Millet,2013,ha,9179000
Area harvested,Millet,2014,ha,9686740
Area harvested,Millet,2015,ha,9116000
Area harvested,Millet,2016,ha,8840000
Yield,Millet,2007,hg/ha,10836
Yield,Millet,2008,hg/ha,10301
Yield,Millet,2009,hg/ha,7977
Yield,Millet,2010,hg/ha,11273
Yield,Millet,2011,hg/ha,11854
Yield,Millet,2012,hg/ha,9998
Yield,Millet,2013,hg/ha,11886
Yield,Millet,2014,hg/ha,11789
Yield,Millet,2015,hg/ha,12758
Yield,Millet,2016,hg/ha,11629
Production,Millet,2007,tonnes,12673000
Production,Millet,2008,tonnes,11371800
Production,Millet,2009,tonnes,8776800
Production,Millet,2010,tonnes,13293000
Production,Millet,2011,tonnes,12660000
Production,Millet,2012,tonnes,10750000
Production,Millet,2013,tonnes,10910000
Production,Millet,2014,tonnes,11420000
Production,Millet,2015,tonnes,11630000
Production,Millet,2016,tonnes,10280000
Area harvested,Oilseeds nes,2007,ha,360000
Area harvested,Oilseeds nes,2008,ha,339400
Area harvested,Oilseeds nes,2009,ha,375500
Area harvested,Oilseeds nes,2010,ha,388730
Area harvested,Oilseeds nes,2011,ha,310000
Area harvested,Oilseeds nes,2012,ha,315000
Area harvested,Oilseeds nes,2013,ha,298740
Area harvested,Oilseeds nes,2014,ha,234000
