Element,Item,Year,Unit,Value
Production,Wheat and products,2007,1000 tonnes,75807
Production,Wheat and products,2008,1000 tonnes,78570
Production,Wheat and products,2009,1000 tonnes,80679
Production,Wheat and products,2010,1000 tonnes,80804
Production,Wheat and products,2011,1000 tonnes,86874
Production,Wheat and products,2012,1000 tonnes,94880
Production,Wheat and products,2013,1000 tonnes,93510
Import Quantity,Wheat and products,2007,1000 tonnes,2690
Import Quantity,Wheat and products,2008,1000 tonnes,14
Import Quantity,Wheat and products,2009,1000 tonnes,180
Import Quantity,Wheat and products,2010,1000 tonnes,199
Import Quantity,Wheat and products,2011,1000 tonnes,17
Import Quantity,Wheat and products,2012,1000 tonnes,15
Import Quantity,Wheat and products,2013,1000 tonnes,27
Stock Variation,Wheat and products,2007,1000 tonnes,-996
Stock Variation,Wheat and products,2008,1000 tonnes,2000
Stock Variation,Wheat and products,2009,1000 tonnes,-1500
Stock Variation,Wheat and products,2010,1000 tonnes,1550
Stock Variation,Wheat and products,2011,1000 tonnes,-4130
Stock Variation,Wheat and products,2012,1000 tonnes,-8713
Stock Variation,Wheat and products,2013,1000 tonnes,3
Export Quantity,Wheat and products,2007,1000 tonnes,128
Export Quantity,Wheat and products,2008,1000 tonnes,163
Export Quantity,Wheat and products,2009,1000 tonnes,146
Export Quantity,Wheat and products,2010,1000 tonnes,158
Export Quantity,Wheat and products,2011,1000 tonnes,784
Export Quantity,Wheat and products,2012,1000 tonnes,5040
Export Quantity,Wheat and products,2013,1000 tonnes,7168
Domestic supply quantity,Wheat and products,2007,1000 tonnes,77373
Domestic supply quantity,Wheat and products,2008,1000 tonnes,80421
Domestic supply quantity,Wheat and products,2009,1000 tonnes,79214
Domestic supply quantity,Wheat and products,2010,1000 tonnes,82394
Domestic supply quantity,Wheat and products,2011,1000 tonnes,81976
Domestic supply quantity,Wheat and products,2012,1000 tonnes,81141
Domestic supply quantity,Wheat and products,2013,1000 tonnes,86372
Feed,Wheat and products,2007,1000 tonnes,1334
Feed,Wheat and products,2008,1000 tonnes,1450
Feed,Wheat and products,2009,1000 tonnes,1617
Feed,Wheat and products,2010,1000 tonnes,1816
Feed,Wheat and products,2011,1000 tonnes,1911
Feed,Wheat and products,2012,1000 tonnes,1898
Feed,Wheat and products,2013,1000 tonnes,1870
Seed,Wheat and products,2007,1000 tonnes,2804
Seed,Wheat and products,2008,1000 tonnes,2775
Seed,Wheat and products,2009,1000 tonnes,2846
Seed,Wheat and products,2010,1000 tonnes,2907
Seed,Wheat and products,2011,1000 tonnes,2986
Seed,Wheat and products,2012,1000 tonnes,2965
Seed,Wheat and products,2013,1000 tonnes,3060
Losses,Wheat and products,2007,1000 tonnes,3924
Losses,Wheat and products,2008,1000 tonnes,4834
Losses,Wheat and products,2009,1000 tonnes,4851
Losses,Wheat and products,2010,1000 tonnes,4952
Losses,Wheat and products,2011,1000 tonnes,5212
Losses,Wheat and products,2012,1000 tonnes,5693
Losses,Wheat and products,2013,1000 tonnes,5611
Processing,Wheat and products,2007,1000 tonnes,0
Processing,Wheat and products,2008,1000 tonnes,0
Processing,Wheat and products,2009,1000 tonnes,0
Processing,Wheat and products,2010,1000 tonnes,0
Processing,Wheat and products,2011,1000 tonnes,0
Processing,Wheat and products,2012,1000 tonnes,0
Processing,Wheat and products,2013,1000 tonnes,0
Food,Wheat and products,2007,1000 tonnes,69311
Food,Wheat and products,2008,1000 tonnes,71361
Food,Wheat and products,2009,1000 tonnes,69900
Food,Wheat and products,2010,1000 tonnes,72719
Food,Wheat and products,2011,1000 tonnes,71867
Food,Wheat and products,2012,1000 tonnes,70589
Food,Wheat and products,2013,1000 tonnes,75833
Food supply quantity (kg/capita/yr),Wheat and products,2007,kg,59.8
Food supply quantity (kg/capita/yr),Wheat and products,2008,kg,60.75
Food supply quantity (kg/capita/yr),Wheat and products,2009,kg,58.73
Food supply quantity (kg/capita/yr),Wheat and products,2010,kg,60.32
Food supply quantity (kg/capita/yr),Wheat and products,2011,kg,58.85
Food supply quantity (kg/capita/yr),Wheat and products,2012,kg,57.08
Food supply quantity (kg/capita/yr),Wheat and products,2013,kg,60.56
Food supply (kcal/capita/day),Wheat and products,2007,kcal/capita/day,510
Food supply (kcal/capita/day),Wheat and products,2008,kcal/capita/day,518
Food supply (kcal/capita/day),Wheat and products,2009,kcal/capita/day,501
Food supply (kcal/capita/day),Wheat and products,2010,kcal/capita/day,515
Food supply (kcal/capita/day),Wheat and products,2011,kcal/capita/day,502
Food supply (kcal/capita/day),Wheat and products,2012,kcal/capita/day,487
Food supply (kcal/capita/day),Wheat and products,2013,kcal/capita/day,517
Protein supply quantity (g/capita/day),Wheat and products,2007,g/capita/day,14.9
Protein supply quantity (g/capita/day),Wheat and products,2008,g/capita/day,15.14
Protein supply quantity (g/capita/day),Wheat and products,2009,g/capita/day,14.63
Protein supply quantity (g/capita/day),Wheat and products,2010,g/capita/day,15.03
Protein supply quantity (g/capita/day),Wheat and products,2011,g/capita/day,14.66
Protein supply quantity (g/capita/day),Wheat and products,2012,g/capita/day,14.23
Protein supply quantity (g/capita/day),Wheat and products,2013,g/capita/day,15.09
Fat supply quantity (g/capita/day),Wheat and products,2007,g/capita/day,2.36
Fat supply quantity (g/capita/day),Wheat and products,2008,g/capita/day,2.41
Fat supply quantity (g/capita/day),Wheat and products,2009,g/capita/day,2.33
Fat supply quantity (g/capita/day),Wheat and products,2010,g/capita/day,2.39
Fat supply quantity (g/capita/day),Wheat and products,2011,g/capita/day,2.33
Fat supply quantity (g/capita/day),Wheat and products,2012,g/capita/day,2.26
Fat supply quantity (g/capita/day),Wheat and products,2013,g/capita/day,2.39
Production,Rice (Milled Equivalent),2007,1000 tonnes,96428
Production,Rice (Milled Equivalent),2008,1000 tonnes,98740
