Crop,Production,Import Quantity,Export Quantity,Domestic supply quantity,Seed
Wheat,75807,2690,128,77373,2804
Wheat,78570,14,163,80421,2775
Wheat,80679,180,146,79214,2846
Wheat,80804,199,158,82394,2907
Wheat,86874,17,784,81976,2986
Wheat,94880,15,5040,81141,2965
Wheat,93510,27,7168,86372,3060
Rice,96428,22,6490,89960,2278
Rice,98740,12,2514,92237,2097
Rice,90494,41,2181,92354,2144
Rice,96023,11,2264,94270,2200
Rice,105319,12,5045,95287,2122
Rice,105253,4,10501,94756,2198
Rice,106186,5,11337,94854,2171
Barley,1330,9,350,989,72
Barley,1200,6,169,1037,85
Barley,1689,4,57,1636,75
Barley,1355,5,39,1321,85
Barley,1663,6,48,1608,92
Barley,1620,41,120,1533,94
Barley,1750,12,557,1226,97
Maize,18955,7,2799,16163,899
Maize,19731,10,3624,16118,909
Maize,16720,24,2673,14571,941
Maize,21726,10,2376,17359,966
Maize,21760,17,4129,17648,958
Maize,22260,9,4537,17732,1045
Maize,23290,17,5119,18188,946
Millet,12673,0,105,11368,331
Millet,11372,0,186,10885,330
Millet,8777,0,137,10139,354
Millet,13293,1,157,11637,320
Millet,12660,0,133,12027,273
Millet,10750,0,109,10641,276
Millet,10910,0,83,10827,264
Sorghum,7151,0,7109,86,493
Sorghum,7926,0,7836,95,546
Sorghum,7246,0,7164,87,499
Sorghum,6698,0,6568,80,461
Sorghum,7003,0,6965,70,483
Sorghum,5980,0,5831,60,411
Sorghum,5280,0,5061,53,362
Sugarcane,355520,0,355520,5333,5333
Sugarcane,348188,0,348188,6964,5223
Sugarcane,285029,0,285029,5701,4275
Sugarcane,292302,0,292302,5846,4385
Sugarcane,342382,0,342382,6848,5136
Sugarcane,361037,0,361037,7221,5416
Sugarcane,341200,0,341200,6824,5118
Soyabeans,10968,0,41,10877,494
Soyabeans,9905,0,70,9855,447
Soyabeans,9965,0,43,9952,450
Soyabeans,12736,0,23,12564,573
Soyabeans,12214,1,46,12219,552
Soyabeans,14666,1,66,14401,660
Soyabeans,11948,1,332,11118,538
Groundnuts,6428,0,264,6152,129
Groundnuts,5018,0,306,4956,100
Groundnuts,3800,0,343,3927,76
Groundnuts,5785,1,383,5518,116
Groundnuts,4875,1,766,4594,146
Groundnuts,3286,0,659,4603,99
Groundnuts,6630,1,557,3992,199
Soyabean Oil,1755,1139,17,2878,1.79
Soyabean Oil,1585,699,1,2291,1.35
Soyabean Oil,1594,1101,2,2696,1.68
Soyabean Oil,2038,924,1,2913,1.59
Soyabean Oil,1954,939,10,2846,1.59
Soyabean Oil,2262,1094,1,3360,1.83
Soyabean Oil,1690,1108,0,2768,1.81
