id,state,district,crop,success_rate
0,Andhra Pradesh,ANANTAPUR,Millet,1
1,Andhra Pradesh,ANANTAPUR,Groundnut,0.87100820306048
2,Andhra Pradesh,ANANTAPUR,Jowar,0.813219766040616
3,Andhra Pradesh,ANANTAPUR,Tea,0.996135164470028
4,Andhra Pradesh,ANANTAPUR,Rice,0.820656578096359
5,Andhra Pradesh,ANANTAPUR,Sugarcane,1
6,Andhra Pradesh,ANANTAPUR,Wheat,0.84605377361948
7,Andhra Pradesh,ANANTAPUR,Soyabean,0.996970970237108
8,Andhra Pradesh,CHITTOOR,Millet,0.984087785687236
9,Andhra Pradesh,CHITTOOR,Groundnut,0.889014004006588
10,Andhra Pradesh,CHITTOOR,Jowar,0.804285419142778
11,Andhra Pradesh,CHITTOOR,Tea,0.994221864631006
12,Andhra Pradesh,CHITTOOR,Rice,0.820656578096359
13,Andhra Pradesh,CHITTOOR,Sugarcane,0.997878907284064
14,Andhra Pradesh,EAST GODAVARI,Millet,0.990212669683796
15,Andhra Pradesh,EAST GODAVARI,Groundnut,0.912888567589176
16,Andhra Pradesh,EAST GODAVARI,Jowar,0.799995444206473
17,Andhra Pradesh,EAST GODAVARI,Rice,0.820656578096359
18,Andhra Pradesh,EAST GODAVARI,Sugarcane,1
19,Andhra Pradesh,EAST GODAVARI,Tea,0.99910469655775
20,Andhra Pradesh,GUNTUR,Groundnut,0.90846297215282
21,Andhra Pradesh,GUNTUR,Rice,0.819403847546533
22,Andhra Pradesh,GUNTUR,Sugarcane,0.99050983592836
23,Andhra Pradesh,GUNTUR,Jowar,0.779255480931224
24,Andhra Pradesh,GUNTUR,Millet,0.850932755435737
25,Andhra Pradesh,GUNTUR,Soyabean,0.996970970237108
26,Andhra Pradesh,GUNTUR,Tea,0.995685893138946
27,Andhra Pradesh,KADAPA,Millet,1
28,Andhra Pradesh,KADAPA,Groundnut,0.89168981524915
29,Andhra Pradesh,KADAPA,Jowar,0.798557428015213
30,Andhra Pradesh,KADAPA,Rice,0.820656578096359
31,Andhra Pradesh,KADAPA,Tea,0.990618750868439
32,Andhra Pradesh,KADAPA,Sugarcane,0.991707781584437
